"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","change","label"
"IGHG1",2.91953853785309e-113,2.91259239274684,0.996,0.914,6.30211588780968e-109,"Up","IGHG1"
"IGLC2",1.18407550470844e-111,2.95813411201154,1,0.93,2.55594538446363e-107,"Up","IGLC2"
"MZB1",8.20734310459539e-103,1.17435336762365,0.89,0.347,1.77163708255796e-98,"Up","MZB1"
"IGHG4",5.81915118747671e-98,3.2365283781499,0.909,0.453,1.25612197532872e-93,"Up","IGHG4"
"JCHAIN",7.06224925197382e-98,1.85299230610964,0.996,0.769,1.52445712353107e-93,"Up","JCHAIN"
"IGKC",1.34812597714408e-96,2.29118152311947,1,0.999,2.91006473426321e-92,"Up","IGKC"
"IGHGP",2.02477622828969e-94,2.03797162827482,0.943,0.466,4.37068196638612e-90,"Up","IGHGP"
"IGHM",8.10197747630348e-94,2.64669733507711,0.962,0.682,1.74889285803487e-89,"Up","IGHM"
"IGLC3",4.91020804907391e-91,2.6996207864941,0.992,0.738,1.0599175094731e-86,"Up","IGLC3"
"IGHA1",5.90854269965498e-89,1.98122801001467,1,0.915,1.27541802714752e-84,"Up","IGHA1"
"IGHG3",2.65459704813777e-88,2.31281628939458,1,0.896,5.73021318811018e-84,"Up","IGHG3"
"IGLC1",1.25216582818526e-83,2.17472955161968,1,0.869,2.7029251567207e-79,"Up","IGLC1"
"IGLV4-69",6.51719295848197e-80,1.00664053266043,0.36,0.054,1.40680127201792e-75,"Up","IGLV4-69"
"IGHG2",7.5133668773774e-68,3.08310407999186,0.955,0.62,1.62183537415069e-63,"Up","IGHG2"
"DCN",1.63700007198269e-33,1.05954469820639,0.818,0.45,3.53362835538185e-29,"Up","DCN"
"CCDC91",1.60888337295942e-22,-1.38266945011674,0.833,0.812,3.47293564887021e-18,"Down","CCDC91"
"TSPAN1",1.81708164896403e-15,-1.31971375048602,0.519,0.628,3.92235244745375e-11,"Down","TSPAN1"
